Mexico,1267.818,1401.72,1628.18,1877.926,2030.266,2135.641,North America
Moldova,39.131,31.919,37.033,32.659,38.321,38.321,Europe
Mongolia,44.47,34.35,33.091,36,46.61,56.426,Asia
Morocco,82.537,102.342,117.323,160.884,193.769,219.376,Africa
Mozambique,5.089,5.428,34.467,45.579,57.715,85.697,Africa
Namibia,9.581,8.482,11.934,14.566,16.148,20.082,Africa
Nepal,5.294,8.096,14.403,17.488,22.936,25.977,Asia
Netherlands,910.223,974.228,1005.576,1108.981,1137.616,976.851,Europe
New Zealand,182.149,210.038,225.129,224.107,230.622,247.011,Asia
Nicaragua,10.452,12.967,16.144,19.699,21.68,28.146,North America
Niger,3.546,3.853,3.116,3.593,6.345,9.386,Africa
Nigeria,203.516,241.728,223.889,316.859,244.412,424.344,Africa
Norway,473.599,486.892,554.982,536.974,482.599,526.141,Europe
Oman,48.864,65.9,114.527,159.327,239.875,334.81,Asia
Pakistan,302.411,406.572,480.167,640.708,735.584,811.82,Asia
Palestine,3.505,11.628,3.505,11.628,8.796,14.441,Asia
Panama,52.263,62.023,66.482,68.959,91.311,108.946,North America
Paraguay,87.442,132.787,165.059,159.426,173.559,183.254,South America
Peru,05.196,131.503,145.79,161.846,222.855,283.747,South America
Philippines,182.2,250.668,299.332,312.225,339.083,441.228,Asia
Poland,1210.054,1108.357,1017.055,1063.204,1161.828,1104.381,Europe
Portugal,196.537,241.297,290.721,294.995,299.251,285.767,Europe
Qatar,86.296,161.397,134.408,224.39,336.018,568.712,Asia
Romania,733.171,551.812,417.358,454.465,394.851,377.333,Europe
Russia,10039.125,7664.493,7176.87,7466.054,7776.155,7816.769,Europe
Rwanda,3.484,3.399,2.596,2.41,2.949,4.917,Africa
Saudi Arabia,928.35,1130.007,1334.906,1814.511,2476.789,3009.485,Asia
Senegal,10.636,16.201,19.913,24.907,26.622,32.902,Africa
Serbia,136.254,136.254,177.629,212.204,194.023,185.788,Europe
Sierra Leone, 4.281,3.573,1.731,2.059,2.906,4.476,Africa
Singapore,273.069,388.84,442.913,548.997,797.533,931.024,Asia
Slovakia,247.298,208.192,216.435,223.357,202.686,180.321,Europe
Slovenia,68.489,73.629,77.626,84.191,85.454,73.68,Europe
South Africa,1028.984,1116.747,1184.21,1298.798,1469.012,1401.575,Africa
South Korea,1062.039,1752.338,2267.122,2631.275,3038.15,3297.267,Asia
Spain,1060.876,1212.368,1517.746,1783.585,1697.972,1559.068,Europe
Sri Lanka,24.132,34.856,49.674,57.395,65.618,80.807,Asia
Sudan,19.878,20.502,32.084,53.16,87.537,89.25,Africa
Sweden,664.438,635.061,620.183,60.353,599.833,604.473,Europe
Switzerland,324.702,335.977,355.818,331.508,341.46,327.336,Europe
Syria,163.638,177.533,217.392,284.773,300.974,132.887,Asia
Taiwan,593.787,785.263,1038.009,1237.824,294.882,1324.653,Asia
Tanzania,15.656,14.015,17.171,28.7,38.03,60.898,Africa
Thailand,360.685,615.374,742.627,1031.474,1218.402,1457.139,Asia
Togo,2.675,3.226,4.309,4.902,10.87,9.847,Africa
Trinidad and Tobago,69.587,88.958,118.827,183.928,233.87,222.302,North America
Tunisia,57.901,61.749,88.213,106.741,88.83,112.028,Africa
Turkey,557.845,704.11,859.066,989.854,1250.386,1589.786,Asia
Turkmenistan,151.891,107.379,119.82,176.6,249.566,332.822,Asia
Uganda,5.677,7.134,10.226,13.586,19.556,26.354,Africa
Ukraine,3171.154,1764.668,1581.464,1592.879,1410.535,986.319,Europe
United Arab Emirates,347.018,487.283,538.872,708.238,974.42,1245.817,Asia
United Kingdom,2503.302,2545.649,2659.1652708.794,2482.843,2252.941,2252.941,Europe
United States,22498.158,24222.295,26427.463,26788.164,25825.74,25596.966,North America
Uruguay, 39.39,35.267,46.783,47.54,61.102,67.251,South America
Uzbekistan,507.293,595.092,558.444,517.172,525.034,525.034,Asia
Venezuela,596.927,718.177,771.513,852.056,924.642,915.161,South America
Vietnam,75.844,124.422,209.652,362.478,520.243,804.326,Asia
Yemen,47.102,44.21,60.187,83.354,99.821,73.622,Asia
Zimbabwe,58.829,52.068,54.651,48.69,46.599,55.642,Africa
